"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Os07g23640",948.477567090991,4.81517159825479,0.246913834793677,19.5014248686323,1.06766131869414e-84,2.71388830598864e-80
"Os05g29710",1959.94934762236,2.35726161724708,0.134506463738811,17.5252664572648,9.19099698334926e-69,1.16812976159877e-64
"Os07g23660",359.659671785645,5.98942811928786,0.372835648559417,16.0645264003862,4.52305749257861e-58,3.83238661346185e-54
"Os07g01420",519.148581436857,-3.25268716633913,0.210207665431108,-15.4736848424072,5.22297819169467e-54,3.31907206636717e-50
"Os01g31050",386.326453405895,-5.61467389512702,0.384118340621267,-14.6170419408923,2.18697785956958e-48,1.11181580424798e-44
"Os10g11889",566.50475300051,-5.44665133773282,0.379180020425294,-14.3642888452397,8.66920112265883e-47,3.67270705561441e-43
"Os03g10090",468.459228770995,3.90840711638192,0.273480015286078,14.291381080601,2.47648969425955e-46,8.9928416483405e-43
"Os07g31610",340.654477094712,-3.77712695287676,0.27293168699637,-13.839092831046,1.48063365612148e-43,4.70452836311899e-40
"Os06g01920",216.660859423527,-4.1862305051111,0.307552520470482,-13.6114329308932,3.42462750950937e-42,9.67228962935762e-39
"Os03g22590",258.238799355766,7.08054754929656,0.520735804280973,13.5971974484707,4.16073640961255e-42,1.05761758795942e-38
"Os07g44460",191.099526036439,-3.67974123717647,0.275146390856104,-13.3737579683569,8.60795663364042e-41,1.98914226973187e-37
"Os01g45914",796.165011860674,-5.21905322700022,0.393560109790804,-13.2611336798701,3.8897072336779e-40,7.71443659106794e-37
"Os04g57860",492.72811568995,-3.58565585781086,0.270410067077731,-13.260067927797,3.94538241802916e-40,7.71443659106794e-37
"Os10g39160",334.552125577793,-3.71461053567838,0.284098692468964,-13.0750708614549,4.57137753454382e-39,8.29998896789781e-36
"Os05g29676",514.582672155518,3.5765623287403,0.279799255424631,12.7826013093295,2.05093294772514e-37,3.47551097321503e-34
"Os02g17880",243.217002088147,-4.38142251191814,0.346110645697189,-12.659022674938,9.97332066341768e-37,1.58444898714634e-33
"Os12g06660",723.618165947979,-2.60066260682095,0.207201031601764,-12.5513979670689,3.90553392568152e-36,5.83969216805285e-33
"Os01g18970",464.497938431516,-2.73545134687692,0.2197841127831,-12.4460831687888,1.46878165932967e-35,2.07416449991671e-32
"Os01g31020",278.391715415429,-4.51247367297879,0.362985460223267,-12.4315548898384,1.7617387263034e-35,2.35692824652137e-32
"Os01g11730",1096.91356287055,-3.02452793040628,0.248174526186072,-12.187100654072,3.64147727745209e-34,4.62813554577773e-31
"Os12g13350",300.521556679532,-5.65808340485732,0.464548314583171,-12.1797523039863,3.98490234062372e-34,4.82343964744354e-31
"Os03g59440",731.818953059337,-3.77126509169235,0.310824304754527,-12.1331087498795,7.0520519098104e-34,8.14800488615775e-31
"Os02g31030",1806.65156910425,-2.34234423463709,0.197762713210146,-11.8442157099052,2.30565215046269e-32,2.44197383385879e-29
"Os10g42780",129.219024210868,3.45961893021448,0.292029985824485,11.8467934737831,2.23583337335347e-32,2.44197383385879e-29
"Os06g22919",1019.01210377596,-2.08726090967271,0.178390183738992,-11.7005368004253,1.26649779777687e-31,1.28772430086761e-28
"Os09g03040",560.026771228965,-4.78671745092894,0.409447949803066,-11.6906616658631,1.42273844530209e-31,1.39094571312054e-28
"Os04g27980",956.624764578541,3.66331031314608,0.314276203824482,11.656340087371,2.13002763647017e-31,2.00530268486797e-28
"Os08g30020",1121.62968777133,-2.26097362123361,0.196813354571052,-11.4879075465246,1.51742930693493e-30,1.37755484117782e-27
"Os12g13340",6957.86606357978,-3.85957894923923,0.337356630000875,-11.4406494670913,2.61917447528229e-30,2.29575158576554e-27
"Os06g36560",1272.02666489089,-1.82662493568759,0.16009002900424,-11.4099856627499,3.72790757758786e-30,3.15865609049019e-27
"Os02g20360",8413.91717098862,-3.81698544881054,0.33587178672798,-11.3644122538398,6.28863018474038e-30,5.15647389244889e-27
"Os02g43370",7283.25429798194,-3.98541165638252,0.357186520304847,-11.1577885217536,6.56031813021522e-29,5.21114770474815e-26
"Os01g24570",137.773304401247,-4.67029562912595,0.420482811005153,-11.1069834649405,1.16012573063396e-28,8.93613210514687e-26
"Os11g37940",472.019155904954,2.19442316866596,0.19776041528771,11.0963721707067,1.30639635033235e-28,9.76684965561703e-26
"Os12g38051",39205.7326024882,-2.84754027455391,0.257056504273681,-11.0774877399025,1.61336084861673e-28,1.17171484031396e-25
"Os05g34010",239.425054478487,2.26201166396757,0.204883296724092,11.0404884152842,2.43704834665352e-28,1.72075922009961e-25
"Os01g50070",163.337829857382,2.57472818938817,0.233505146314131,11.0264301666586,2.84952625048595e-28,1.95762453408385e-25
"Os01g07060",169.389348153566,-3.6165827268285,0.331679141171845,-10.9038594168173,1.10469949818974e-27,7.3895675117066e-25
"Os11g40410",464.438595230638,-4.5936839264199,0.423340434125115,-10.8510398632564,1.97169278659796e-27,1.2850886908342e-24
"Os07g15460",4568.53395488149,-3.88602321807653,0.367726337227362,-10.5677043623716,4.20665757538078e-26,2.6732257227151e-23
"Os03g55050",306.05067489674,1.87374263383437,0.180480569482894,10.3819632174419,2.99550874602485e-25,1.85714236134648e-22
"Os11g04020",5566.42764018649,-3.92873604096108,0.378865257098512,-10.3697448297286,3.40432589249644e-25,2.06034666336588e-22
"Os09g31031",320.127123948366,2.25423624972213,0.218812131654492,10.3021538736326,6.89010282980633e-25,4.07301218211272e-22
"Os01g72370",8246.09365947383,-3.50619653641803,0.342101136254016,-10.249005819772,1.19566992566358e-24,6.90743950919147e-22
"Os08g14109",670.705889410052,-2.09686995543651,0.204907659925935,-10.2332433848224,1.407257515459e-24,7.94912861898942e-22
"Os07g35860",139.431000291808,-2.73149477903459,0.275206498449291,-9.92525537887286,3.2327412195478e-23,1.78637063173229e-20
"Os02g10520",1093.10998026036,-3.06306381962637,0.309010418719999,-9.91249367032471,3.67360669333401e-23,1.98679592633739e-20
"Os05g31730",225.873415222451,8.35505993468442,0.846126804518337,9.87447731246452,5.37122500457876e-23,2.84439934148724e-20
"Os01g24560",1227.68917794165,-1.93502673917236,0.196095412646965,-9.86778177547699,5.74203428698015e-23,2.97870958246426e-20
"Os07g48460",1798.77556415328,1.66300922158684,0.172960842862846,9.61494633155536,6.91453998622338e-22,3.51521383819624e-19
"Os03g25320",1205.59787377729,-3.16761727751593,0.331422830202549,-9.55763148718524,1.20482375625027e-21,6.00498334512267e-19
"Os05g45010",77.1901601214743,-3.48716459094614,0.365066521131596,-9.55213471817952,1.27050899260798e-21,6.21059001598119e-19
